production_id,product_category,factory,shift,supervisor,units_produced,defective_units,production_time_hr,machine_downtime_hr,energy_consumption_kwh,profit
101,Automotive,Plant_A,Night,S1,627,12,6.58,0.56,1028,12286
102,Automotive,Plant_A,Night,S2,602,32,6.6,0.32,1038,18279
103,Electronics,Plant_A,Night,S4,666,39,7.76,0.78,1084,23261
104,Electronics,Plant_B,Morning,S3,474,22,6.97,1.44,1144,11674
105,Furniture,Plant_A,Night,S3,476,21,8.92,1.15,1349,12045
106,Electronics,Plant_B,Morning,S2,621,28,8.23,1.12,846,20834
107,Furniture,Plant_B,Morning,S3,351,29,7.33,1.03,1173,12664
108,Electronics,Plant_B,Evening,S3,659,9,8.33,0.42,1546,14010
109,Electronics,Plant_A,Morning,S3,627,40,7.16,0.62,1586,22713
110,Automotive,Plant_B,Morning,S4,505,22,6.7,1.39,1380,24358
111,Automotive,Plant_B,Night,S4,502,34,6.93,0.38,1562,19197
112,Furniture,Plant_A,Morning,S1,598,30,7.59,1.5,941,18348
113,Furniture,Plant_C,Evening,S3,378,15,8.88,0.75,865,16304
114,Furniture,Plant_C,Evening,S1,583,5,8.54,0.35,1349,22302
115,Automotive,Plant_B,Night,S2,450,32,6.97,0.2,1539,24349
116,Automotive,Plant_A,Morning,S3,559,11,9.11,0.59,1454,18317
117,Automotive,Plant_B,Evening,S1,690,15,8.12,1.21,1343,10009
118,Electronics,Plant_A,Night,S1,357,28,9.14,1.28,1114,13923
119,Electronics,Plant_A,Night,S4,343,36,8.95,1.47,1345,22547
120,Automotive,Plant_C,Night,S2,581,15,7.3,1.33,1233,13470
121,Automotive,Plant_B,Morning,S2,665,24,7.7,1.07,1182,17177
122,Electronics,Plant_A,Morning,S1,415,9,7.51,0.96,1035,19641
123,Electronics,Plant_B,Night,S4,417,9,9.22,1.32,872,18423
124,Furniture,Plant_A,Evening,S4,409,39,6.9,1.42,1384,19440
125,Furniture,Plant_C,Morning,S1,397,11,6.79,0.76,1233,16735
126,Electronics,Plant_A,Night,S4,331,30,8.68,1.24,911,14073
127,Automotive,Plant_A,Morning,S1,371,32,7.05,0.8,877,17260
128,Furniture,Plant_A,Morning,S4,347,20,7.0,0.83,1018,24166
129,Furniture,Plant_C,Night,S4,301,29,7.3,1.22,1265,14673
130,Automotive,Plant_A,Night,S3,379,17,7.39,1.46,1393,22054
131,Electronics,Plant_C,Morning,S2,329,8,8.25,0.85,1343,12579
132,Automotive,Plant_A,Night,S1,335,9,8.53,0.51,922,24586
133,Furniture,Plant_A,Night,S3,617,10,7.76,0.96,1335,15183
134,Furniture,Plant_A,Morning,S4,422,21,7.69,1.07,1107,17491
135,Furniture,Plant_A,Morning,S3,618,11,6.72,0.48,1071,12170
136,Automotive,Plant_C,Morning,S3,445,15,7.81,0.91,1109,20021
137,Electronics,Plant_C,Night,S2,639,11,9.32,0.37,918,24577
138,Automotive,Plant_B,Night,S4,439,23,8.31,1.13,1008,21263
139,Electronics,Plant_B,Morning,S3,428,8,6.78,0.75,1083,10722
140,Electronics,Plant_C,Morning,S1,382,33,8.16,0.76,809,11832
141,Electronics,Plant_B,Morning,S2,489,40,6.94,0.37,1115,15974
142,Automotive,Plant_A,Morning,S2,641,11,7.56,0.93,1216,20168
143,Furniture,Plant_C,Night,S2,390,31,6.57,1.16,1140,22818
144,Furniture,Plant_A,Morning,S4,436,15,8.86,0.34,839,24067
145,Automotive,Plant_A,Evening,S3,479,24,8.96,1.33,1028,10387
146,Furniture,Plant_C,Night,S3,442,9,9.4,0.56,1456,18346
147,Electronics,Plant_A,Night,S4,314,12,9.13,0.54,1394,14349
148,Automotive,Plant_A,Evening,S1,476,25,7.81,1.48,918,16311
149,Automotive,Plant_C,Night,S2,662,32,6.51,1.4,1351,21253
150,Furniture,Plant_C,Morning,S3,486,32,6.71,1.06,1138,20209
